Company-Year,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,NetIncomeAvailShareholders,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics ESG Risk Classification
ADM-2020,Consumer Staples,52.45191192626953,56.15447616577149,3.19,"20,000,000","556,000","1,772,000",58.75,24.183,7
ADM-2021,Consumer Staples,85.06822204589844,73.5248794555664,4.84,"22,477,000","560,000","2,709,000",58.933,24.282,7
ADM-2022,Consumer Staples,76.50296020507812,72.962646484375,7.93,"24,284,000","547,000","4,340,000",60.1,23.715,7
ADM-2023,Consumer Staples,61.71709060668945,59.95989227294922,6.44,"24,132,000","541,000","3,483,000",57.162,24.278,7
AEE-2020,Utilities,73.43846893310547,72.78661346435547,3.53,"8,938,000","247,000","871,000",64.695,28.425,7.545
AEE-2021,Utilities,86.90641784667969,84.310302734375,3.86,"9,700,000","256,300","990,000",62.688,31.554,5.833
AEE-2022,Utilities,82.19402313232422,78.29534912109375,4.16,"10,508,000","258,400","1,074,000",62.729,33.473,5
AEE-2023,Utilities,72.60014343261719,70.44337463378906,4.39,"11,349,000","262,800","1,152,000",63.933,35.387,5
AEP-2020,Utilities,73.69889831542969,74.28199005126953,4.44,"20,550,900","495,718","2,200,100",72.2,38.438,7
AEP-2021,Utilities,89.92811584472656,87.23026275634766,4.97,"22,433,200","500,522","2,488,100",68.025,35.229,7
AEP-2022,Utilities,84.82612609863281,79.22364044189453,4.51,"23,893,400","511,842","2,307,200",62.925,34.727,6
AEP-2023,Utilities,83.53663635253906,86.1076889038086,4.26,"25,246,700","518,904","2,208,100",61.279,35.737,5
AFL-2020,Financials,46.99625015258789,49.62252807617188,6.69,"33,559,000","713,702","4,778,000",36,12.317,5
AFL-2021,Financials,60.58843231201172,52.38964462280273,6.42,"33,253,000","673,617","4,231,000",35.887,13.169,4.833
AFL-2022,Financials,62.29008483886719,67.7885513305664,6.96,"20,140,000","634,816","4,418,000",34.65,17.47,3
AFL-2023,Financials,84.83270263671875,88.8007583618164,7.81,"21,985,000","596,173","4,659,000",36.733,18.707,3
AIG-2020,Financials,42.57791137695312,44.15031051635742,-6.88,"66,362,000","869,309","-5,973,000",47.814,16.717,6.636
AIG-2021,Financials,59.27472305297852,48.5482177734375,12.10,"65,956,000","854,320","10,338,000",48.225,20.663,5.333
AIG-2022,Financials,48.64371871948242,55.95235443115234,13.10,"40,970,000","778,621","10,198,000",49.338,23.61,5
AIG-2023,Financials,77.3792724609375,73.83929443359375,5.02,"45,351,000","719,506","3,614,000",48.725,23.887,5
AKAM-2020,Information Technology,101.9000015258789,116.5999984741211,3.43,"4,251,296","162,490","557,054",34.95,13.797,5
AKAM-2021,Information Technology,119.3899993896484,91.33000183105467,4.01,"4,530,014","162,665","651,642",35.375,14.678,4.5
AKAM-2022,Information Technology,78.30000305175781,89.87000274658203,3.29,"4,360,187","159,089","523,672",36.208,17.528,3
AKAM-2023,Information Technology,108.7600021362305,90.08000183105467,3.59,"4,597,155","152,510","547,629",37.108,20.677,3
ALB-2020,Materials,141.7695007324219,163.8751831054688,3.53,"4,268,227","106,402","375,764",55.073,18.23,7
ALB-2021,Materials,216.3252410888672,204.8438262939453,1.07,"5,625,266","115,841","123,672",55.113,18.207,7
ALB-2022,Materials,217.6294708251953,220.0584106445312,22.97,"7,982,627","117,120","2,689,816",56.033,27.128,5
ALB-2023,Materials,130.8357391357422,95.1669692993164,13.41,"9,412,180","117,317","1,573,476",56.375,29.455,5
AME-2020,Industrials,124.8592147827148,130.7139434814453,3.80,"5,949,346","229,435","872,439",38.45,9.568,5
AME-2021,Industrials,130.9798583984375,108.2594833374023,4.29,"6,871,884","230,955","990,053",38.45,12.483,5
AME-2022,Industrials,143.9048767089844,160.5777435302734,5.04,"7,476,512","231,536","1,159,542",38.075,13.712,5
AME-2023,Industrials,182.3220520019531,166.4416198730469,5.70,"8,730,191","230,519","1,313,188",38.125,14.284,5
AMT-2020,Real Estate,217.1354064941407,245.3650360107422,3.81,"4,093,500","443,640","1,690,600",26.55,8.939,3
AMT-2021,Real Estate,232.6863555908203,236.7339630126953,5.69,"5,081,200","451,498","2,567,700",24.267,12.033,3
AMT-2022,Real Estate,194.2323608398437,184.3468322753907,3.83,"5,572,400","461,519","1,765,800",23.35,12.468,3
AMT-2023,Real Estate,194.2186584472656,191.0634307861328,3.18,"4,198,200","466,063","1,483,300",24.588,13.697,3
ANET-2020,Information Technology,75.47250366210938,90.57749938964844,2.09,"3,320,291","303,936","634,557",27.9,9.2,3
ANET-2021,Information Technology,138.9799957275391,93.73999786376952,2.74,"3,978,600","306,512","840,854",27.9,10.145,3
ANET-2022,Information Technology,167.8600006103516,162.0599975585938,4.41,"4,885,820","306,473","1,352,446",27.9,11.147,3
ANET-2023,Information Technology,289.9800109863281,350.4800109863281,6.75,"7,219,059","309,354","2,087,321",27.9,11.388,3
ANSS-2020,Information Technology,339.5599975585937,347.0599975585937,5.05,"4,097,872","85,840","433,887",28.25,12.853,3
ANSS-2021,Information Technology,317.6499938964844,239.2899932861328,5.22,"4,484,048","87,100","454,627",28.204,13.322,3
ANSS-2022,Information Technology,332.7999877929688,330.2699890136719,6.02,"4,865,851","87,051","523,710",27.7,14.586,3
ANSS-2023,Information Technology,347.1600036621094,321.5,5.76,"5,390,364","86,833","500,412",29.9,15.463,3
APH-2020,Information Technology,31.8934440612793,33.14781951904297,1.01,"5,384,900","1,192,000","1,203,400",34.4,10.538,5
APH-2021,Information Technology,36.74992752075195,31.48165702819824,1.33,"6,302,000","1,195,800","1,590,800",33.758,11.353,5
APH-2022,Information Technology,40.30868911743164,42.01679611206055,1.59,"7,015,600","1,192,400","1,902,300",33.3,11.792,5
APH-2023,Information Technology,57.46736526489258,67.26284790039062,1.61,"8,346,500","1,193,000","1,928,000",34.175,13.992,3.5
APTV-2020,Consumer Discretionary,137.8999938964844,157.3300018310547,6.72,"7,905,000","263,430","1,769,000",35.85,20.166,3
APTV-2021,Consumer Discretionary,119.7099990844727,89.06999969482422,1.95,"8,347,000","270,460","527,000",35.85,22.233,3
APTV-2022,Consumer Discretionary,112.1900024414062,102.0899963378906,1.96,"8,809,000","270,900","531,000",35.142,23.155,3
APTV-2023,Consumer Discretionary,79.6500015258789,70.41999816894531,10.50,"11,548,000","276,920","2,909,000",35.275,24.522,3
AVY-2020,Materials,173.9944610595703,199.880874633789,6.66,"1,484,900","83,151","555,900",30.2,11.588,3
AVY-2021,Materials,166.9355621337891,155.9265899658203,8.94,"1,924,400","82,606","740,100",30.2,12.268,3
AVY-2022,Materials,174.4947357177734,168.2352447509766,9.28,"2,032,200","81,600","757,100",31.117,15.38,3
AVY-2023,Materials,221.5528717041016,217.8041229248047,6.25,"2,127,900","80,496","503,000",32.3,16.373,3
AWK-2020,Utilities,140.8086090087891,145.2498168945312,3.91,"6,454,000","181,000","709,000",54.95,25.868,5
AWK-2021,Utilities,157.7078247070312,142.2915649414062,6.96,"7,298,000","182,000","1,263,000",54.275,26.275,5
AWK-2022,Utilities,141.9931793212891,138.9490661621094,4.51,"7,693,000","182,000","820,000",53.867,26.699,5
AWK-2023,Utilities,120.8178100585938,128.4308013916016,4.90,"9,797,000","193,000","944,000",51.85,30.118,5
AXP-2020,Financials,134.7503356933594,158.4420013427734,3.77,"22,984,000","805,000","3,036,000",37.15,15.826,4.167
AXP-2021,Financials,180.232437133789,133.9386138916016,10.04,"22,177,000","789,000","7,917,000",37.696,18.063,3.167
AXP-2022,Financials,161.0424041748047,170.6627655029297,9.86,"24,711,000","751,000","7,400,000",38.55,19.427,3.5
AXP-2023,Financials,225.5838623046875,230.1492919921875,11.23,"28,057,000","735,000","8,252,000",38.55,19.938,3
BA-2020,Industrials,254.7200012207031,239.5599975585937,-20.88,"-18,316,000","568,630","-11,873,000",56.279,17.613,7
BA-2021,Industrials,191.5,136.7200012207031,-7.15,"-14,999,000","587,692","-4,202,000",56.312,20.042,7
BA-2022,Industrials,212.4299926757812,211.1600036621093,-8.30,"-15,883,000","594,578","-4,935,000",57.325,22.65,7
BA-2023,Industrials,192.9900054931641,182.009994506836,-3.67,"-17,233,000","605,450","-2,222,000",64.917,25.327,7
BALL-2020,Materials,81.36012268066406,77.92401123046875,1.79,"3,275,000","326,260","585,000",30.3,15.048,3
BALL-2021,Materials,87.08357238769531,66.68829345703125,2.69,"3,627,000","325,989","878,000",30.3,16.173,3
BALL-2022,Materials,53.9736442565918,57.21369552612305,2.27,"3,461,000","316,433","719,000",29.475,17.867,3
BALL-2023,Materials,66.9521255493164,59.84710693359375,2.25,"3,769,000","314,775","707,000",31.183,19.551,3
BK-2020,Financials,42.10107803344727,45.95890808105469,3.84,"45,801,000","890,839","3,417,000",43.196,20.382,5
BK-2021,Financials,45.37885284423828,38.36070251464844,4.17,"43,034,000","851,799","3,550,000",47.625,25.158,5
BK-2022,Financials,42.86501693725586,42.31720733642578,2.91,"40,734,000","811,068","2,362,000",49.342,27.758,5
BK-2023,Financials,56.33713531494141,59.01018905639648,3.89,"40,874,000","784,069","3,051,000",50.217,29.706,4.5
BKNG-2020,Consumer Discretionary,2318.55615234375,2177.49267578125,1.45,"4,893,000","40,974","59,000",28.209,8.692,3
BKNG-2021,Consumer Discretionary,2337.075927734375,1740.519165039062,28.39,"6,178,000","41,042","1,165,000",29.633,9.465,3.333
BKNG-2022,Consumer Discretionary,2639.563720703125,2687.251953125,76.70,"2,782,000","39,872","3,058,000",35.55,13.266,5
BKNG-2023,Consumer Discretionary,3610.30908203125,3952.402099609375,118.67,"-2,744,000","36,140","4,289,000",34.675,14.087,4
BKR-2020,Energy,19.53232002258301,20.84107971191406,-14.73,"12,893,000","675,000","-9,940,000",47.7,25.56,5
BKR-2021,Energy,33.94528961181641,27.10074806213379,-0.27,"14,830,000","824,000","-219,000",48.492,27.396,5
BKR-2022,Energy,27.61410522460937,30.42957496643066,-0.61,"14,394,000","987,000","-601,000",48.721,26.967,5
BKR-2023,Energy,32.83813095092773,34.72608184814453,1.93,"15,368,000","1,008,000","1,943,000",48.454,25.016,5
BLDR-2020,Industrials,46.36999893188477,42.65999984741211,2.69,"1,152,783","116,611","313,537",40.2,8.823,7
BLDR-2021,Industrials,64.54000091552734,53.70000076293945,8.55,"4,802,481","201,839","1,725,416",40.242,8.217,7
BLDR-2022,Industrials,88.77999877929688,136,16.98,"4,962,566","161,960","2,749,369",43.45,11.597,7
BLDR-2023,Industrials,208.5500030517578,138.4100036621094,12.06,"4,732,351","127,777","1,540,555",44,12.42,7
BRO-2020,Financials,44.54298400878906,51.89364242553711,1.70,"3,754,223","274,334","465,300",32.75,8.272,5
BRO-2021,Financials,70.93604278564453,57.34992980957031,2.08,"4,196,900","276,024","574,200",33.158,8.771,5
BRO-2022,Financials,56.74468231201172,68.16459655761719,2.38,"4,606,600","277,521","659,100",33.45,11.023,5
BRO-2023,Financials,87.1419906616211,89.15292358398438,3.07,"5,578,800","279,600","857,200",33.533,12.42,5
BWA-2020,Consumer Discretionary,38.76749801635742,40.74402618408203,2.09,"6,428,000","238,931","500,000",37.175,13.293,5
BWA-2021,Consumer Discretionary,33.01601791381836,28.43717193603516,2.24,"6,948,000","239,777","537,000",36.383,18.681,3.833
BWA-2022,Consumer Discretionary,42.38973617553711,42.36067581176758,4.03,"7,224,000","234,122","944,000",35.767,22.423,3
BWA-2023,Consumer Discretionary,34.50906753540039,32.14055252075195,2.72,"5,828,000","229,784","625,000",35.254,22.783,3
BXP-2020,Real Estate,84.5732650756836,96.62525177001952,5.54,"5,996,083","155,432","861,479",27.6,13.398,3
BXP-2021,Real Estate,111.4305572509766,77.5540771484375,3.18,"5,834,020","156,121","496,223",27.35,13.657,3
BXP-2022,Real Estate,49.024658203125,53.14792251586914,5.42,"6,132,919","156,724","848,056",27.15,14.123,3
BXP-2023,Real Estate,63.23258590698242,60.57391357421875,1.21,"5,876,697","156,864","190,215",27.175,14.673,3
